,source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights,user_type
778,Student34,idraozwip2z6do,directed,post_graph,4,0,0,0,4,Student
1407,Student38,ids5kgtdfa3ge,directed,post_graph,4,0,0,0,4,Student
1409,Student24,ids5kgtdfa3ge,directed,post_graph,4,0,0,0,4,Student
1411,Student32,ids5kgtdfa3ge,directed,post_graph,4,0,0,0,4,Student
1413,Student44,ids5kgtdfa3ge,directed,post_graph,4,0,0,0,4,Student
1416,Student6,ids67d56y3t2t8,directed,post_graph,4,0,0,0,4,Student
1418,Student55,ids67d56y3t2t8,directed,post_graph,4,0,0,0,4,Student
1420,Student34,ids67d56y3t2t8,directed,post_graph,4,0,0,0,4,Student
1422,Student46,ids67d56y3t2t8,directed,post_graph,4,0,0,0,4,Student
2179,Student53,idtuzbqf4m456f,directed,post_graph,4,0,0,0,4,Student
2223,Student12,idtuzu0k5vk1m8,directed,post_graph,4,0,0,1,5,Student
2255,Student21,idtuzzor86t1nw,directed,post_graph,4,0,0,0,4,Student
2358,Student33,idtv0l8ls5i229,directed,post_graph,4,0,0,0,4,Student
2722,Student32,idxdg0ib7s1136,directed,post_graph,4,0,0,0,4,Student
2934,Student55,idyzpozm3yk4y1,directed,post_graph,4,0,0,0,4,Student
2936,Student71,idyzpozm3yk4y1,directed,post_graph,4,0,0,0,4,Student
2940,Student34,idyzpozm3yk4y1,directed,post_graph,4,0,0,0,4,Student
2995,Student77,ie00cfmttsz596,directed,post_graph,4,0,0,0,4,Student
2997,Student39,ie00cfmttsz596,directed,post_graph,4,0,0,0,4,Student
2999,Student55,ie00cfmttsz596,directed,post_graph,4,0,0,0,4,Student
3001,Student46,ie00cfmttsz596,directed,post_graph,4,0,0,0,4,Student
3110,Student34,ie30a4wqame7gi,directed,post_graph,4,0,0,0,4,Student
3112,Student3,ie30a4wqame7gi,directed,post_graph,4,0,0,0,4,Student
3114,Student21,ie30a4wqame7gi,directed,post_graph,4,0,0,0,4,Student
