,uid,asks,answers,posts,views,days,type,Student ID,Assignment 1 [40],Assignment 2 [40],Project 1 [100],Assignment 3 [40],Assignment 4 [40],Project 2 [100],Assignment 5 [40],Assignment 6 [40],Project 3 [100],final_grade,Peer Feedback [15],Course Grade,grade_bucket,id,label,user_type,type_data
242,User304,4,3,58,397,116,student,User304,36,0,74,0,30,79,35,0,67,94,14,65.49,b,User304,User304,User,user_graph
243,User323,3,0,20,228,110,student,User323,27,0,75,0,35,62,38,0,55,80,15,59.08,c,User323,User323,User,user_graph
245,User195,2,1,22,630,82,student,User195,20,0,86,0,31,77,33,0,51,98,15,62.74,b,User195,User195,User,user_graph
249,User271,2,3,26,301,93,student,User271,38,0,66,0,38,52,0,39,51,97,15,60.45,b,User271,User271,User,user_graph
253,User78,1,0,13,189,74,student,User78,37,0,78,27,0,63,28,0,84,96,14,65.19,b,User78,User78,User,user_graph
254,User81,7,0,45,350,73,student,User81,0,30,60,0,36,41,0,27,59,100,15,56.18,c,User81,User81,User,user_graph
255,User74,1,0,18,322,89,student,User74,31,0,75,33,0,76,35,0,72,93,10,64.88,b,User74,User74,User,user_graph
256,User37,15,0,54,274,65,student,User37,34,0,94,0,40,87,0,37,82,98,10,73.58,a,User37,User37,User,user_graph
259,User53,2,3,97,565,132,student,User53,0,38,100,40,0,88,37,0,80,100,16,76.18,a,User53,User53,User,user_graph
261,User209,5,4,61,322,68,student,,,,,,,,,,,,,,,User209,User209,User,user_graph
262,User36,5,0,23,121,85,student,User36,15,0,51,0,29,52,0,39,34,92,15,49.92,d,User36,User36,User,user_graph
263,User366,4,0,15,222,60,student,,,,,,,,,,,,,,,User366,User366,User,user_graph
264,User258,1,0,10,50,16,student,User258,0,30,72,0,33,74,0,34,40,97,14,60.15,b,User258,User258,User,user_graph
266,User108,1,0,31,72,45,student,User108,0,24,70,0,23,75,0,20,69,91,10,58.32,c,User108,User108,User,user_graph
267,User211,2,0,26,634,89,student,User211,0,31,75,0,29,65,0,33,77,98,12,64.12,b,User211,User211,User,user_graph
269,User213,1,0,30,632,113,student,User213,33,0,77,0,30,69,34,0,56,94,13,61.98,b,User213,User213,User,user_graph
272,User272,1,0,13,214,46,student,User272,31,0,57,31,0,45,36,0,54,86,11,53.58,c,User272,User272,User,user_graph
273,User295,2,0,21,394,141,student,User295,39,0,96,26,0,85,0,37,85,89,15,72.06,a,User295,User295,User,user_graph
274,User87,5,1,16,281,41,student,User87,38,0,82,22,0,82,29,0,76,96,15,67.17,b,User87,User87,User,user_graph
275,User250,7,2,56,571,132,student,User250,40,0,89,0,40,88,40,0,87,98,15,75.87,a,User250,User250,User,user_graph
276,User231,3,0,20,110,32,student,,,,,,,,,,,,,,,User231,User231,User,user_graph
277,User118,1,0,33,636,137,student,User118,33,0,90,36,0,73,0,25,64,93,14,65.34,b,User118,User118,User,user_graph
278,User110,2,0,17,70,64,student,User110,30,0,69,32,0,57,0,28,64,84,13,57.55,c,User110,User110,User,user_graph
281,User77,2,0,12,144,48,student,User77,36,0,82,40,0,48,40,0,48,100,15,62.44,b,User77,User77,User,user_graph
283,User80,1,0,31,323,81,student,User80,0,40,87,0,29,64,0,33,67,93,15,65.34,b,User80,User80,User,user_graph
284,User293,1,0,44,278,78,student,User293,28,0,83,0,40,76,0,31,35,90,10,60,b,User293,User293,User,user_graph
286,User106,2,0,24,631,112,student,User106,39,0,75,34,0,63,34,0,70,94,13,64.42,b,User106,User106,User,user_graph
290,User154,4,0,38,338,123,student,User154,40,0,94,40,0,92,39,0,78,98,15,75.72,a,User154,User154,User,user_graph
295,User175,1,0,10,51,53,student,,,,,,,,,,,,,,,User175,User175,User,user_graph
297,User121,1,1,19,241,98,student,User121,31,0,56,27,0,45,0,36,48,100,9,53.74,c,User121,User121,User,user_graph
298,User342,1,1,4,5,25,student,User342,0,16,65,27,0,83,35,0,65,100,13,61.67,b,User342,User342,User,user_graph
301,User41,1,0,8,144,27,student,User41,32,0,91,32,0,81,38,0,89,90,14,71.29,a,User41,User41,User,user_graph
302,User294,1,0,12,129,45,student,User294,0,22,82,0,29,49,0,30,47,96,15,56.48,c,User294,User294,User,user_graph
304,User160,3,0,10,71,37,student,User160,22,0,68,0,40,47,0,40,46,97,13,56.94,c,User160,User160,User,user_graph
305,User174,6,0,49,274,103,student,User174,0,24,64,0,32,64,0,40,64,99,16,61.52,b,User174,User174,User,user_graph
308,User235,6,0,51,381,111,student,User235,0,30,95,0,36,81,0,31,81,95,15,70.83,a,User235,User235,User,user_graph
309,User352,2,0,8,85,71,student,,,,,,,,,,,,,,,User352,User352,User,user_graph
314,User214,1,0,10,138,44,student,User214,28,0,86,34,0,75,40,0,82,93,12,68.7,b,User214,User214,User,user_graph
317,User316,1,0,18,432,108,student,User316,0,14,81,35,0,84,29,0,73,90,12,63.81,b,User316,User316,User,user_graph
319,User356,2,1,38,374,101,student,User356,38,0,63,0,32,88,0,33,86,94,13,68.24,b,User356,User356,User,user_graph
321,User369,1,0,6,92,31,student,User369,0,34,83,0,35,50,0,32,60,99,15,62.29,b,User369,User369,User,user_graph
322,User156,11,0,84,500,96,student,User156,26,0,88,34,0,65,33,0,76,98,15,66.41,b,User156,User156,User,user_graph
327,User42,1,0,4,66,46,student,User42,0,23,78,0,35,83,0,33,67,93,10,64.42,b,User42,User42,User,user_graph
330,Missing91,1,0,6,60,30,student,,,,,,,,,,,,,,,Missing91,Missing91,Missing,user_graph
331,User34,2,0,51,493,102,student,User34,0,34,84,13,0,40,34,0,87,88,13,60,b,User34,User34,User,user_graph
333,User139,2,0,26,358,69,student,User139,32,0,97,0,33,86,0,38,68,95,15,70.83,a,User139,User139,User,user_graph
334,User336,17,4,141,645,128,student,User336,0,37,86,0,40,69,34,0,61,100,15,67.48,b,User336,User336,User,user_graph
335,User142,1,0,7,179,58,student,User142,0,29,61,0,25,66,0,29,78,91,15,60.15,b,User142,User142,User,user_graph
338,User188,7,0,34,507,76,student,User188,0,16,53,0,29,55,0,26,52,86,15,50.68,c,User188,User188,User,user_graph
341,User70,4,4,128,418,95,student,User70,36,0,93,35,0,77,29,0,77,100,15,70.53,a,User70,User70,User,user_graph
342,User251,1,0,3,163,49,student,,,,,,,,,,,,,,,User251,User251,User,user_graph
343,User91,7,2,149,641,134,student,User91,0,31,72,0,31,70,0,29,77,72,15,60.61,b,User91,User91,User,user_graph
346,User28,0,0,13,376,72,student,User28,0,31,64,0,31,61,0,21,60,91,14,56.94,c,User28,User28,User,user_graph
349,User47,3,0,21,325,89,student,User47,28,0,77,0,27,63,0,33,71,95,13,62.13,b,User47,User47,User,user_graph
350,User273,4,0,49,619,92,student,User273,0,34,97,0,24,86,0,26,66,94,15,67.48,b,User273,User273,User,user_graph
351,User378,5,0,17,111,42,student,User378,0,35,73,0,17,34,0,33,59,98,10,54.8,c,User378,User378,User,user_graph
355,User341,0,0,4,89,22,student,User341,0,28,27,0,22,19,0,27,24,96,13,39.08,d,User341,User341,User,user_graph
359,User65,2,0,14,635,35,student,User65,0,31,86,0,32,44,0,16,64,99,14,58.93,c,User65,User65,User,user_graph
360,User205,0,0,31,154,53,student,User205,0,27,82,0,30,52,0,37,39,82,15,55.57,c,User205,User205,User,user_graph
361,User144,2,0,19,376,108,student,User144,0,35,97,0,40,74,0,32,79,100,15,72.06,a,User144,User144,User,user_graph
